AnoMês,Dt. Leitura,Instalação,Cód. PN,Parceiro de negócio,Número do CNPJ,Recebedor alternativo,Nº de contrato,Titular do contrato,Categoria tarifa,Desc. Categoria tarifa,Fase,"Tp Cli (BT,MT,AT)",Lote de Leitura,Dt. Vencimento,Classe,Desc. Classe,Município,Bairro,Rua,Nº,CEP,Energia Faturada Ponta,Receita Energia Faturada Ponta,Energia Faturada Fora Ponta,Receita Energia Faturada Fora Ponta,Demanda Faturada Ponta,Receita Demanda Faturada Ponta,Demanda Faturada Fora Ponta,Receita Demanda Faturada Fora Ponta,Demanda Registrada Ponta,Receita Demanda Registrada Ponta,Demanda Registrada F.Ponta,Receita Demanda Registrada F.Ponta,Demanda Contratada Ponta,Receita Demanda Contratada Ponta,Demanda Contratada F.Ponta,Receita Demanda Contratada F.Ponta,Demanda Ultrapassagem Ponta,Receita Demanda Ultrapassagem Ponta,Demanda Ultrapassagem Fora Ponta,Receita Demanda Ultrapassagem Fora Ponta,Importe UFER Ponta,Receita Importe UFER Ponta,Importe UFER Fora Ponta,Receita Importe UFER Fora Ponta,Importe UFDR,Receita Importe UFDR,Receita Total,Juros Atraso Pagamento,IGPM,Multa Atraso Pagamento,CIP,COFINS,PIS,ICMS,Parcelamentos,Cust. Disp. MMGD,Res. 77,Desconto AES,Energia Comp. MMGD,Receita Energia Comp. MMGD,Energia Injet. MMGD,"Imp. Ret, Fonte",TUS Geração,Créditos,OUTROS VALORES
202412,14/01/2025,142754,152128200,SECRETARIA DE ESTADO DE GESTAO E RECURS,07162270000148,,502610889,,B3REATEF,Baixa Reativa Eficiência,Trifásico,BT,38,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,SANTA CLARA,RUA STA CLARA,1SN,29018-660,"507,000","347,030",,,,,,,,,,,,,,,,,,,,,,,,,"387,460",,,,"33,450","9,280","2,000",,,,,,,,,"-4,300",,,"0,000"
202412,14/01/2025,142764,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,POLICIA MILITAR DO ESTADO DO ESPIRITO,401427644,,B3REATEF,Baixa Reativa Eficiência,Trifásico,BT,38,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,PARQUE MOSCOSO,RUA SOLD ANTONIO FARIA,1SN,29018-150,"11.168,000","7.644,160",,,,,,,,,,,,,,,,,,,,,,,,,"7.831,520",,,,"33,450","204,420","44,200",,,,,,,,,"-94,710",,,"0,000"
202412,31/01/2025,143025,152127100,ES SEDU - ESPIRITO SANTO SECRETARIA DE,27080563000193,SEDU ENSINO FUNDAMENTAL,501562545,,O3REATEF,Demais Classes Optantes,Trifásico,MT,44,10/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,RUA FRANCISCO ARAUJO,1SN,29015-090,"4.775,204","3.268,490",,,,,,,,,,,,,,,,,,,"43,952","13,230",,,,,"3.382,860",,,,"35,070","87,750","18,980",,,,,,,,,"-40,660",,,"0,000"
202412,31/01/2025,143035,152126100,SECRETARIA DE ESTADO DA CULTURA,01062213000100,,502603391,,V4,"V4 Horo-sazonal Verde 2,3 - 25 KV",Trifásico,MT,44,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,RUA PEDRO PALACIOS,99,29015-160,"31,900","54,810","532,000","208,720","30,000","954,900",,,"1,255","0,000","2,509","0,000","30,000","0,000",,,,,,,"0,554","0,160",,,,,"1.353,210",,,,"145,600","32,580","7,040",,,,,,,,,"-50,600",,,"0,000"
202412,15/01/2025,143080,152121900,ESPIRITO SANTO SECRETARIA DE EST DE SEG,27476373000190,POLICIA MILITAR DO ESTADO DO ESPIRITO,501749696,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,PCA OITO DE SETEMBRO,143,29010-600,"363,000","248,460",,,,,,,,,,,,,,,,,,,,,,,,,"280,450",,,,"27,000","6,640","1,430",,,,,,,,,"-3,080",,,"0,000"
202412,15/01/2025,143165,152124600,SECRETARIA DE ESTADO DE TRABALHO ASSISTE,03252312000180,,401431650,SECRETARIA DE ESTADO,B3,Categoria Demais Classes B3,Trifásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,RUA SETE DE SETEMBRO,321,29015-000,"981,000","671,460",,,,,,,,,,,,,,,,,,,,,,,,,"740,700",,,"22,530","33,450","17,960","3,890",,,,,,,,,"-8,590",,,"0,000"
202412,15/01/2025,143210,152123600,SECRETARIA DE ESTADO DA JUSTICA,36388023000162,,502836328,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,RUA QUINTINO BOCAIUVA,16,29010-210,"35,000","23,950",,,,,,,,,,,,,,,,,,,,,,,,,"31,190",,,"0,450","6,320","0,640","0,140",,,,,,,,,"-0,310",,,"0,000"
202412,15/01/2025,143211,152123600,SECRETARIA DE ESTADO DA JUSTICA,36388023000162,,502836353,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,RUA QUINTINO BOCAIUVA,16,29010-210,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,700",,,"0,450","5,300","0,550","0,120",,,,,,,,,"-0,260",,,"0,000"
202412,15/01/2025,143316,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,501854420,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
202412,15/01/2025,143317,152127200,FACULDADE DE MUSICA DO ESPIRITO SANTO F,30965214000163,,501854422,,B3,Categoria Demais Classes B3,Monofásico,BT,39,03/03/2025,520,PODER PUBLICO - ESTADUAL,VITORIA,CENTRO,AV PRSA ISABEL,599,29010-365,"30,000","20,540",,,,,,,,,,,,,,,,,,,,,,,,,"26,260",,,,"5,300","0,550","0,120",,,,,,,,,"-0,250",,,"0,000"
